"HGNC ID"	"Approved Symbol"	"Approved Name"	"Status"	"Previous Symbols"	"Synonyms"	"Chromosome"	"Accession Numbers"	"RefSeq IDs"
"HGNC:725"	"ART3"	"ADP-ribosyltransferase 3"	"Approved"			"4q21.1"	"X95827"	"NM_001179"
"HGNC:726"	"ART4"	"ADP-ribosyltransferase 4 (Dombrock blood group)"	"Approved"	"DO"	"DOK1, CD297"	"12q13.2-q13.3"	"X95826"	"NM_021071"
"HGNC:24049"	"ART5"	"ADP-ribosyltransferase 5"	"Approved"			"11p15.4"	"Y16835"	"NM_053017"
"HGNC:727"	"ARTN"	"artemin"	"Approved"		"NBN, EVN, ENOVIN"	"1p33-p32"	"AF109401"	"NM_057090"
"HGNC:29561"	"ARV1"	"ARV1 homolog (S. cerevisiae)"	"Approved"			"1q42.2"	"AF271780"	"NM_022786"
"HGNC:728"	"ARVCF"	"armadillo repeat gene deleted in velocardiofacial syndrome"	"Approved"			"22q11.21"		"NM_001670"
"HGNC:729"	"ARVD1"	"arrhythmogenic right ventricular dysplasia 1"	"Approved"	"ARVD"		"14q23-q24"		
"HGNC:730"	"ARVD2~withdrawn"	"symbol withdrawn, see RYR2"	"Symbol Withdrawn"					
"HGNC:731"	"ARVD3"	"arrhythmogenic right ventricular dysplasia 3"	"Approved"			"14q12-q22"		
"HGNC:732"	"ARVD4"	"arrhythmogenic right ventricular dysplasia 4"	"Approved"			"2q32.1-q32.3"		
"HGNC:733"	"ARVD5"	"arrhythmogenic right ventricular dysplasia 5"	"Approved"			"3p23"		
"HGNC:18060"	"ARX"	"aristaless related homeobox"	"Approved"	"MRXS1, PRTS, MRX76, MRX54, MRX43, MRX36, MRX29, MRX32, MRX33, MRX38, MRX87"	"ISSX, CT121, EIEE1"	"Xp21.3"	"AY038071"	
"HGNC:17452"	"AS3MT"	"arsenic (+3 oxidation state) methyltransferase"	"Approved"		"CYT19"	"10q24.33"	"AF226730"	"NM_020682"
"HGNC:735"	"ASAH1"	"N-acylsphingosine amidohydrolase (acid ceramidase) 1"	"Approved"	"ASAH"	"AC, PHP32, FLJ21558"	"8p22"	"U70063"	"NM_004315"
"HGNC:18860"	"ASAH2"	"N-acylsphingosine amidohydrolase (non-lysosomal ceramidase) 2"	"Approved"			"10q11.23"	"AF250847"	"NM_019893"
"HGNC:23456"	"ASAH2B"	"N-acylsphingosine amidohydrolase (non-lysosomal ceramidase) 2B"	"Approved"		"bA449O16.3, ASAH2L"	"10q11.23"	"BI553338"	
"HGNC:23457"	"ASAH2C"	"N-acylsphingosine amidohydrolase (non-lysosomal ceramidase) 2C"	"Approved"		"bA98I6.3, OTTHUMG00000018134"	"10q11.22"		
"HGNC:2720"	"ASAP1"	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1"	"Approved"	"DDEF1"	"PAP, KIAA1249, ZG14P, CENTB4"	"8q24.1-q24.2"	"AB033075"	"NM_018482"
"HGNC:24998"	"ASAP1-IT1"	"ASAP1 intronic transcript 1 (non-protein coding)"	"Approved"	"DDEF1IT1"	"HSPC054, NCRNA00050, ASAP1IT, ASAP1-IT"	"8q24.21"	"AF161539"	"NR_002765"
"HGNC:2721"	"ASAP2"	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2"	"Approved"	"DDEF2"	"KIAA0400, PAP, SHAG1, CENTB3"	"2p24"	"AB007860"	"NM_003887"
"HGNC:14987"	"ASAP3"	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3"	"Approved"	"DDEFL1"	"FLJ20199, UPLC1, CENTB6"	"1p36.13"	"AK000206"	"NM_017707"
"HGNC:16011"	"ASB1"	"ankyrin repeat and SOCS box containing 1"	"Approved"		"ASB-1"	"2q37"	"AF156777"	"NM_001040445"
"HGNC:16012"	"ASB2"	"ankyrin repeat and SOCS box containing 2"	"Approved"		"ASB-2"	"14q31-q32"	"AF159164"	
"HGNC:16013"	"ASB3"	"ankyrin repeat and SOCS box containing 3"	"Approved"		"ASB-3"	"2p16-p14"	"AK000985"	"NM_016115"
"HGNC:16009"	"ASB4"	"ankyrin repeat and SOCS box containing 4"	"Approved"		"ASB-4"	"7q21-q22"	"AF156779"	"NM_016116"
"HGNC:17180"	"ASB5"	"ankyrin repeat and SOCS box containing 5"	"Approved"			"4q34.1"	"AY057053"	
"HGNC:17181"	"ASB6"	"ankyrin repeat and SOCS box containing 6"	"Approved"			"9q34.13"		"NM_017873"
"HGNC:17182"	"ASB7"	"ankyrin repeat and SOCS box containing 7"	"Approved"			"15q26.3"		"NM_024708"
"HGNC:17183"	"ASB8"	"ankyrin repeat and SOCS box containing 8"	"Approved"		"MGC5540, FLJ21255"	"12q13.12"	"AK024908"	
"HGNC:17184"	"ASB9"	"ankyrin repeat and SOCS box containing 9"	"Approved"		"DKFZP564L0862, MGC4954, FLJ20636"	"Xp22.2"	"AK000643"	
"HGNC:20972"	"ASB9P1"	"ankyrin repeat and SOCS box containing 9 pseudogene 1"	"Approved"			"15q26.1"		"NR_033769"
"HGNC:17185"	"ASB10"	"ankyrin repeat and SOCS box containing 10"	"Approved"			"7q35"	"AK055536"	"NM_080871"
"HGNC:17186"	"ASB11"	"ankyrin repeat and SOCS box containing 11"	"Approved"		"DKFZp779E2460"	"Xp22.31"	"AF425642"	
"HGNC:19763"	"ASB12"	"ankyrin repeat and SOCS box containing 12"	"Approved"		"FLJ39577"	"Xq11.1"	"AF403030"	
"HGNC:19765"	"ASB13"	"ankyrin repeat and SOCS box containing 13"	"Approved"		"FLJ13134, MGC19879"	"10p15.1"	"AK091935"	
"HGNC:19766"	"ASB14"	"ankyrin repeat and SOCS box containing 14"	"Approved"		"DKFZp313L0121"	"3p21.1"	"AF403032"	
"HGNC:19767"	"ASB15"	"ankyrin repeat and SOCS box containing 15"	"Approved"		"FLJ43370"	"7q31.31"	"AF403033"	
"HGNC:19768"	"ASB16"	"ankyrin repeat and SOCS box containing 16"	"Approved"		"FLJ30165"	"17q21.31"	"AK054727"	
"HGNC:19769"	"ASB17"	"ankyrin repeat and SOCS box containing 17"	"Approved"			"1p22.3"	"AF403035"	"NM_080868"
"HGNC:19770"	"ASB18"	"ankyrin repeat and SOCS box containing 18"	"Approved"			"2q37.2"	"AK123854"	"NM_212556"
"HGNC:737"	"ASB~withdrawn"	"symbol withdrawn, see ALAS2"	"Symbol Withdrawn"					
"HGNC:24268"	"ASCC1"	"activating signal cointegrator 1 complex subunit 1"	"Approved"		"CGI-18, ASC1p50, Em:AC022392.3"	"10pter-q25.3"	"AY013290"	"NM_015947"
"HGNC:24103"	"ASCC2"	"activating signal cointegrator 1 complex subunit 2"	"Approved"		"ASC1p100, FLJ21588, DKFZp586O0223"	"22q12.1"	"AY013289"	"NM_032204"
"HGNC:18697"	"ASCC3"	"activating signal cointegrator 1 complex subunit 3"	"Approved"	"HELIC1"	"RNAH, ASC1p200, dJ121G13.4, dJ467N11.1"	"6q16"	"AJ223948"	"NM_006828"
"HGNC:738"	"ASCL1"	"achaete-scute complex homolog 1 (Drosophila)"	"Approved"		"ASH1, HASH1, bHLHa46"	"12q22-q23"	"L08424"	
"HGNC:739"	"ASCL2"	"achaete-scute complex homolog 2 (Drosophila)"	"Approved"		"ASH2, HASH2, bHLHa45"	"11p15.5"		"NM_005170"
"HGNC:740"	"ASCL3"	"achaete-scute complex homolog 3 (Drosophila)"	"Approved"		"bHLHa42, HASH3, Sgn1"	"11p15.3"	"AJ400877"	
"HGNC:24311"	"ASCL4"	"achaete-scute complex homolog 4 (Drosophila)"	"Approved"		"HASH4, bHLHa44"	"12q24.11"	"AY238895"	"NM_203436"
"HGNC:33169"	"ASCL5"	"achaete-scute complex homolog 5 (Drosophila)"	"Approved"		"bHLHa47"	"1q32.1"		"XM_001719321.2"
"HGNC:741"	"ASD1"	"atrial septal defect 1"	"Approved"			"5p15.31"		
"HGNC:20995"	"ASF1A"	"ASF1 anti-silencing function 1 homolog A (S. cerevisiae)"	"Approved"		"DKFZP547E2110, CIA"	"6q22.31"	"AF279306"	"NM_014034"
"HGNC:20996"	"ASF1B"	"ASF1 anti-silencing function 1 homolog B (S. cerevisiae)"	"Approved"		"FLJ10604"	"19p13.12"	"AF279307"	"NM_018154"
"HGNC:742"	"ASGR1"	"asialoglycoprotein receptor 1"	"Approved"		"CLEC4H1"	"17p13-p11"		"NM_001671"
"HGNC:743"	"ASGR2"	"asialoglycoprotein receptor 2"	"Approved"		"CLEC4H2"	"17p"	"M11025"	"NM_080914"
"HGNC:19088"	"ASH1L"	"ash1 (absent, small, or homeotic)-like (Drosophila)"	"Approved"		"huASH1, ASH1, ASH1L1, KMT2H"	"1q22"	"AB037841"	"NM_018489"
"HGNC:41449"	"ASH1L-IT1"	"ASH1L intronic transcript 1 (non-protein coding)"	"Approved"			"1q22"		
"HGNC:744"	"ASH2L"	"ash2 (absent, small, or homeotic)-like (Drosophila)"	"Approved"	"ASH2L1"	"ASH2L2, ASH2, Bre2"	"8p11.2"	"AF056717"	"NM_004674"
"HGNC:19332"	"ASH2LP1"	"ash2 (absent, small, or homeotic)-like (Drosophila) pseudogene 1"	"Approved"			"22q11.22"		
"HGNC:100"	"ASIC1"	"acid-sensing (proton-gated) ion channel 1"	"Approved"	"ACCN2"	"BNaC2, hBNaC2"	"12q12"	"U78181"	"NM_020039"
"HGNC:99"	"ASIC2"	"acid-sensing (proton-gated) ion channel 2"	"Approved"	"ACCN, ACCN1"	"ASIC2a, BNC1, BNaC1, hBNaC1, MDEG"	"17q11.2-q12"	"AL834182"	"NM_183377, NM_001094"
"HGNC:101"	"ASIC3"	"acid-sensing (proton-gated) ion channel 3"	"Approved"	"ACCN3"	"TNaC1, DRASIC"	"7q35"	"AB010575"	"NM_004769"
"HGNC:21263"	"ASIC4"	"acid-sensing (proton-gated) ion channel family member 4"	"Approved"	"ACCN4"	"BNAC4"	"2q36.1"	"AJ271643"	"NM_018674"
"HGNC:745"	"ASIP"	"agouti signaling protein"	"Approved"	"AGTIL"	"ASP"	"20q11.2-q12"		
"HGNC:746"	"ASL"	"argininosuccinate lyase"	"Approved"			"7q11.21"		"NM_000048"
"HGNC:748"	"ASLN~withdrawn"	"symbol withdrawn, see COL4A5"	"Symbol Withdrawn"					
"HGNC:747"	"ASLP1"	"argininosuccinate lyase pseudogene 1"	"Approved"	"ASLL"		"22q11.23"		"NG_002637"
"HGNC:749"	"ASMD"	"anterior segment mesenchymal dysgenesis"	"Approved"			"4q28-q31"		
"HGNC:750"	"ASMT"	"acetylserotonin O-methyltransferase"	"Approved"		"HIOMT, ASMTY, HIOMTY"	"Xp22.3 and Yp11.3"	"M83779"	"NM_004043"
"HGNC:751"	"ASMTL"	"acetylserotonin O-methyltransferase-like"	"Approved"			"Xp22.3 and Yp11.3"	"Y15521"	"NM_004192"
"HGNC:25811"	"ASMTL-AS1"	"ASMTL antisense RNA 1 (non-protein coding)"	"Approved"	"CXYorf2, NCRNA00105, ASMTLAS, ASMTL-AS"	"FLJ13330"	"Xp22.33 and Yp11.32"	"AK023392"	"XR_040863"
"HGNC:752"	"ASNA1"	"arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)"	"Approved"		"ARSA-I, GET3, TRC40"	"19p13.13"	"U60276"	"NM_004317"
"HGNC:753"	"ASNS"	"asparagine synthetase (glutamine-hydrolyzing)"	"Approved"			"7q21-q31"	"M27396"	"NM_001673, NM_183356"
"HGNC:24910"	"ASNSD1"	"asparagine synthetase domain containing 1"	"Approved"		"NS3TP1, FLJ20752, NBLA00058"	"2p24.3-q21.3"	"AY116969"	"NM_019048"
"HGNC:754"	"ASNSP1"	"asparagine synthetase pseudogene 1"	"Approved"	"ASNSL1"		"8q11.1"		
"HGNC:755"	"ASNSP2"	"asparagine synthetase pseudogene 2"	"Approved"	"ASNSL2"		"21p11.2"		
"HGNC:39399"	"ASNSP3"	"asparagine synthetase pseudogene 3"	"Approved"			"13q32.3"		"NG_021205"
"HGNC:39400"	"ASNSP4"	"asparagine synthetase pseudogene 4"	"Approved"			"8q11.1"		"NG_026098"
"HGNC:39401"	"ASNSP5"	"asparagine synthetase pseudogene 5"	"Approved"			"1q21.1"		
"HGNC:756"	"ASPA"	"aspartoacylase"	"Approved"		"ASP, ACY2"	"17p13.3"	"S67156"	"NM_000049"
"HGNC:33856"	"ASPDH"	"aspartate dehydrogenase domain containing"	"Approved"			"19q13.33"		"NM_001024656"
"HGNC:20123"	"ASPG"	"asparaginase homolog (S. cerevisiae)"	"Approved"	"C14orf76"		"14q32.33"		"NM_001080464"
"HGNC:757"	"ASPH"	"aspartate beta-hydroxylase"	"Approved"		"CASQ2BP1, BAH, JCTN, HAAH"	"8q12.1"	"AF224468"	"NM_004318"
"HGNC:27380"	"ASPHD1"	"aspartate beta-hydroxylase domain containing 1"	"Approved"			"16p11.2"	"AF070642"	"NM_181718"
"HGNC:30437"	"ASPHD2"	"aspartate beta-hydroxylase domain containing 2"	"Approved"		"FLJ39838"	"22q12.1"	"AK097157"	"NM_020437"
"HGNC:19048"	"ASPM"	"asp (abnormal spindle) homolog, microcephaly associated (Drosophila)"	"Approved"	"MCPH5"	"Calmbp1, ASP, FLJ10517, FLJ10549"	"1q31"	"AY367065"	"NM_018136"
"HGNC:14872"	"ASPN"	"asporin"	"Approved"		"FLJ20129, SLRR1C, PLAP1"	"9q22.31"	"AF316824"	"NM_017680"
"HGNC:26321"	"ASPRV1"	"aspartic peptidase, retroviral-like 1"	"Approved"		"Taps, SASPase, FLJ25084"	"2p13.3"	"AK055994"	"NM_152792"
"HGNC:13825"	"ASPSCR1"	"alveolar soft part sarcoma chromosome region, candidate 1"	"Approved"		"ASPS, ASPL, UBXD9, UBXN9"	"17q25"	"AF324219"	"NM_024083"
"HGNC:16448"	"ASRGL1"	"asparaginase like 1"	"Approved"		"FLJ22316, ALP1, ALP"	"11q12.3"		"NM_001083926"
"HGNC:758"	"ASS1"	"argininosuccinate synthase 1"	"Approved"	"ASS"	"CTLN1"	"9q34.1"	"X01630"	"NM_000050"
"HGNC:759"	"ASS1P1"	"argininosuccinate synthetase 1 pseudogene 1"	"Approved"	"ASSP1"		"6p22.3"	"K01845"	"NG_001077"
"HGNC:765"	"ASS1P2"	"argininosuccinate synthetase 1 pseudogene 2"	"Approved"	"ASSP2"		"2p22.1"		"NG_000845"
"HGNC:766"	"ASS1P3"	"argininosuccinate synthetase 1 pseudogene 3"	"Approved"	"ASSP3"		"9q21.2"		"NG_012998"
"HGNC:767"	"ASS1P4"	"argininosuccinate synthetase 1 pseudogene 4"	"Approved"	"ASSP4"		"Xp22.33"		"NG_000846"
"HGNC:768"	"ASS1P5"	"argininosuccinate synthetase 1 pseudogene 5"	"Approved"	"ASSP5"		"Xq23"		"NG_000847"
"HGNC:769"	"ASS1P6"	"argininosuccinate synthetase 1 pseudogene 6"	"Approved"	"ASSP6"		"Yq11.21"		"NG_000848"
"HGNC:770"	"ASS1P7"	"argininosuccinate synthetase 1 pseudogene 7"	"Approved"	"ASSP7"		"3q26.32"		"NG_001079"
"HGNC:771"	"ASS1P8"	"argininosuccinate synthetase 1 pseudogene 8"	"Approved"	"ASSP8"		"4q31.22"		"NG_003009"
"HGNC:772"	"ASS1P9"	"argininosuccinate synthetase 1 pseudogene 9"	"Approved"	"ASSP9"		"5q11.2"		"NG_003022"
"HGNC:760"	"ASS1P10"	"argininosuccinate synthetase 1 pseudogene 10"	"Approved"	"ASSP10"		"5q32"		"NG_003021"
"HGNC:761"	"ASS1P11"	"argininosuccinate synthetase 1 pseudogene 11"	"Approved"	"ASSP11"	"TCAG_1641141"	"7p15.3"		"NG_008639"
"HGNC:762"	"ASS1P12"	"argininosuccinate synthetase 1 pseudogene 12"	"Approved"	"ASSP12"		"9p13.3"		"NG_005207"
"HGNC:763"	"ASS1P13"	"argininosuccinate synthetase 1 pseudogene 13"	"Approved"	"ASSP13"		"11q22.3"		"NG_011669"
"HGNC:764"	"ASS1P14"	"argininosuccinate synthetase 1 pseudogene 14"	"Approved"	"ASSP14"		"12p11.21"		
"HGNC:25021"	"ASTE1"	"asteroid homolog 1 (Drosophila)"	"Approved"		"HT001"	"3q21.3"	"AF113539"	"NM_014065"
"HGNC:31704"	"ASTL"	"astacin-like metallo-endopeptidase (M12 family)"	"Approved"		"ovastacin"	"2q11.1"	"AJ537600"	
"HGNC:773"	"ASTN1"	"astrotactin 1"	"Approved"	"ASTN"		"1q25.2"	"AB006627"	"NM_004319"
"HGNC:17021"	"ASTN2"	"astrotactin 2"	"Approved"		"KIAA0634"	"9q33"	"AF116574"	"NM_014010"
"HGNC:20174"	"ASUN"	"asunder, spermatogenesis regulator homolog (Drosphila)"	"Approved"	"C12orf11"	"FLJ10637, NET48, Mat89Bb"	"12p12.3"	"AK001222"	"NM_018164"
"HGNC:774"	"ASVS1~withdrawn"	"entry withdrawn"	"Entry Withdrawn"					
"HGNC:18318"	"ASXL1"	"additional sex combs like 1 (Drosophila)"	"Approved"		"KIAA0978"	"20q11"	"AJ438952"	"NM_015338"
"HGNC:23805"	"ASXL2"	"additional sex combs like 2 (Drosophila)"	"Approved"		"ASXH2, FLJ10898, KIAA1685"	"2p24.1"		"NM_018263"
"HGNC:29357"	"ASXL3"	"additional sex combs like 3 (Drosophila)"	"Approved"	"KIAA1713"		"18q11"	"AB051500"	
"HGNC:1350"	"ASZ1"	"ankyrin repeat, SAM and basic leucine zipper domain containing 1"	"Approved"	"C7orf7, ANKL1"	"Orf3, GASZ, ALP1, CT1.19"	"7q31.2"	"AF461259"	"NM_130768"
"HGNC:734"	"AS~withdrawn"	"symbol withdrawn, see HLA-B"	"Symbol Withdrawn"					
"HGNC:14223"	"AT3~withdrawn"	"symbol withdrawn, see SERPINC1"	"Symbol Withdrawn"					
"HGNC:25903"	"ATAD1"	"ATPase family, AAA domain containing 1"	"Approved"		"FLJ14600"	"10q23.31"	"AL834370"	"NM_032810"
"HGNC:30123"	"ATAD2"	"ATPase family, AAA domain containing 2"	"Approved"		"PRO2000, DKFZp667N1320, MGC5254, MGC29843"	"8q24.13"	"BC019909"	"NM_014109"
"HGNC:29230"	"ATAD2B"	"ATPase family, AAA domain containing 2B"	"Approved"		"KIAA1240"	"2p24.1-p23.3"	"AB033066"	"NM_017552"
"HGNC:25567"	"ATAD3A"	"ATPase family, AAA domain containing 3A"	"Approved"		"FLJ10709"	"1p36.33"	"AK025865"	"NM_018188"
"HGNC:24007"	"ATAD3B"	"ATPase family, AAA domain containing 3B"	"Approved"		"TOB3, KIAA1273"	"1p36.33"	"AL834179"	"NM_031921"
"HGNC:32151"	"ATAD3C"	"ATPase family, AAA domain containing 3C"	"Approved"		"FLJ34599"	"1p36.33"	"AK091918"	"NM_001039211"
"HGNC:25752"	"ATAD5"	"ATPase family, AAA domain containing 5"	"Approved"	"C17orf41"	"FLJ12735, FRAG1, ELG1"	"17q11.2"		"NM_024857"
"HGNC:21186"	"ATAT1"	"alpha tubulin acetyltransferase 1"	"Approved"	"C6orf134"	"FLJ13158, Em:AB023049.7, MEC17"	"6p21.32"	"AK023220"	"NM_024909"
"HGNC:776"	"ATA~withdrawn"	"symbol withdrawn, see ATM"	"Symbol Withdrawn"					
"HGNC:779"	"ATCAY"	"ataxia, cerebellar, Cayman type"	"Approved"			"19p13.3"		
"HGNC:778"	"ATC~withdrawn"	"symbol withdrawn, see ATM"	"Symbol Withdrawn"					
"HGNC:780"	"ATD"	"asphixiating thoracic dystrophy (chondroectodermal dysplasia-like syndrome)"	"Approved"			"12p12.2-p11.21"		
"HGNC:781"	"ATDC~withdrawn"	"symbol withdrawn, see ATM"	"Symbol Withdrawn"					
"HGNC:782"	"ATE1"	"arginyltransferase 1"	"Approved"			"10q26"	"AF079098"	"NM_001001976"
"HGNC:783"	"ATF1"	"activating transcription factor 1"	"Approved"		"TREB36"	"12q13"	"BC029619"	"NM_005171"
"HGNC:37691"	"ATF1P1"	"activating transcription factor 1 pseudogene 1"	"Approved"			"6q16.1"		"NG_016455"
"HGNC:784"	"ATF2"	"activating transcription factor 2"	"Approved"	"CREB2"	"TREB7, CRE-BP1, HB16"	"2q32"	"X15875"	"NM_001880"
"HGNC:785"	"ATF3"	"activating transcription factor 3"	"Approved"			"1q32.3"	"L19871"	"NM_001674"
"HGNC:786"	"ATF4"	"activating transcription factor 4 (tax-responsive enhancer element B67)"	"Approved"	"TXREB"	"TAXREB67, CREB-2"	"22q13.1"	"D90209"	"NM_001675"
"HGNC:789"	"ATF4P1"	"activating transcription factor 4 pseudogene 1"	"Approved"	"TXREBP, ATF4P"	"TAXREB67P"	"Xq28"	"U03712"	"NG_001080"
"HGNC:34025"	"ATF4P2"	"activating transcription factor 4 pseudogene 2"	"Approved"			"Xq28"		"NG_002951"
"HGNC:788"	"ATF4P3"	"activating transcription factor 4 pseudogene 3"	"Approved"	"ATF4C"		"17q25.1"		"NG_009319"
"HGNC:787"	"ATF4P4"	"activating transcription factor 4 pseudogene 4"	"Approved"	"ATF4B"		"11q23.2"		"NG_021835"
"HGNC:790"	"ATF5"	"activating transcription factor 5"	"Approved"			"19q13.3"	"AF101388"	
"HGNC:791"	"ATF6"	"activating transcription factor 6"	"Approved"		"ATF6A"	"1q22-q23"	"AB015856"	"NM_007348"
"HGNC:2349"	"ATF6B"	"activating transcription factor 6 beta"	"Approved"	"CREBL1"	"G13"	"6p21.3"		
"HGNC:792"	"ATF7"	"activating transcription factor 7"	"Approved"		"ATFA"	"12q13"	"X52943"	"NM_001130059"
"HGNC:20092"	"ATF7IP"	"activating transcription factor 7 interacting protein"	"Approved"		"FLJ10688, p621"	"12p13.1"	"AJ242978"	"NM_018179"
"HGNC:20397"	"ATF7IP2"	"activating transcription factor 7 interacting protein 2"	"Approved"		"FLJ12668"	"16p13.2"	"AK022730"	"NM_024997"
"HGNC:29028"	"ATG2A"	"ATG2 autophagy related 2 homolog A (S. cerevisiae)"	"Approved"		"KIAA0404"	"11q13.1"		
"HGNC:20187"	"ATG2B"	"ATG2 autophagy related 2 homolog B (S. cerevisiae)"	"Approved"	"C14orf103"	"FLJ10242"	"14q32.31"	"AK001104"	
"HGNC:20962"	"ATG3"	"ATG3 autophagy related 3 homolog (S. cerevisiae)"	"Approved"	"APG3L"	"PC3-96, FLJ22125, MGC15201, DKFZp564M1178"	"3q13.2"		"NM_022488"
"HGNC:31123"	"ATG3P1"	"ATG3 autophagy related 3 homolog (S. cerevisiae) pseudogene 1"	"Approved"	"ATG3P"	"dJ54G6.1"	"20q12"	"AY392024"	
"HGNC:16489"	"ATG4A"	"ATG4 autophagy related 4 homolog A (S. cerevisiae)"	"Approved"	"AUTL2, APG4A"		"Xq22.1-q22.3"	"AJ320508"	"NM_052936"
"HGNC:20790"	"ATG4B"	"ATG4 autophagy related 4 homolog B (S. cerevisiae)"	"Approved"	"APG4B"	"Apg4B, KIAA0943, DKFZp586D1822, AUTL1"	"2q37.3"	"AB023160"	"NM_013325"
"HGNC:16040"	"ATG4C"	"ATG4 autophagy related 4 homolog C (S. cerevisiae)"	"Approved"	"AUTL1, APG4C"	"FLJ14867, AUTL3"	"1p31.3"	"AK027773"	"NM_032852"
"HGNC:20789"	"ATG4D"	"ATG4 autophagy related 4 homolog D (S. cerevisiae)"	"Approved"	"AUTL4, APG4D"	"APG4-D"	"19p13.2"	"AJ312332"	"NM_032885"
"HGNC:589"	"ATG5"	"ATG5 autophagy related 5 homolog (S. cerevisiae)"	"Approved"	"APG5L"	"ASP, APG5, hAPG5"	"6q21"	"Y11588"	
"HGNC:16935"	"ATG7"	"ATG7 autophagy related 7 homolog (S. cerevisiae)"	"Approved"	"APG7L"	"GSA7, DKFZp434N0735"	"3p25.3-p25.2"	"AF094516"	"NM_006395"
"HGNC:22408"	"ATG9A"	"ATG9 autophagy related 9 homolog A (S. cerevisiae)"	"Approved"	"APG9L1"	"FLJ22169"	"2q35"	"AK021732"	"NM_024085"
"HGNC:21899"	"ATG9B"	"ATG9 autophagy related 9 homolog B (S. cerevisiae)"	"Approved"	"NOS3AS"	"FLJ14885, APG9L2, SONE"	"7q36"	"AK027791"	"NM_173681"
"HGNC:20315"	"ATG10"	"ATG10 autophagy related 10 homolog (S. cerevisiae)"	"Approved"	"APG10L"	"DKFZP586I0418, FLJ13954"	"5q14.1"	"AK024016"	
"HGNC:40914"	"ATG10-AS1"	"ATG10 antisense RNA 1 (non-protein coding)"	"Approved"			"5q14.1"		
"HGNC:41455"	"ATG10-IT1"	"ATG10 intronic transcript 1 (non-protein coding)"	"Approved"			"5q14.1"		
"HGNC:588"	"ATG12"	"ATG12 autophagy related 12 homolog (S. cerevisiae)"	"Approved"	"APG12L"	"APG12"	"5q21-q22"	"AB017507"	"NM_004707"
"HGNC:21466"	"ATG12P1"	"ATG12 autophagy related 12 homolog (S. cerevisiae) pseudogene 1"	"Approved"	"ATG12P"		"17q25.1"		
"HGNC:38605"	"ATG12P2"	"ATG12 autophagy related 12 homolog (S. cerevisiae) pseudogene 2"	"Approved"			"2q36.1"		
"HGNC:29091"	"ATG13"	"ATG13 autophagy related 13 homolog (S. cerevisiae)"	"Approved"	"KIAA0652"		"11p11.2"	"AB014552"	"NM_014741"
"HGNC:19962"	"ATG14"	"ATG14 autophagy related 14 homolog (S. cerevisiae)"	"Approved"	"KIAA0831"	"ATG14L"	"14q22.2"	"AB020638"	"NM_014924"
"HGNC:21498"	"ATG16L1"	"ATG16 autophagy related 16-like 1 (S. cerevisiae)"	"Approved"	"APG16L, ATG16L"	"WDR30, FLJ10035, ATG16A"	"2q37.1"	"AK000897"	"NM_017974"
"HGNC:25464"	"ATG16L2"	"ATG16 autophagy related 16-like 2 (S. cerevisiae)"	"Approved"		"FLJ00012, WDR80, ATG16B"	"11q13.4"	"AK024423"	"NM_033388"
"HGNC:26210"	"ATHL1"	"ATH1, acid trehalase-like 1 (yeast)"	"Approved"		"FLJ22635"	"11p15.5"	"AK090428"	"NM_025092"
"HGNC:793"	"ATHS"	"atherosclerosis susceptibility (lipoprotein associated)"	"Approved"		"ALP"	"19p13.3-p13.2"		
"HGNC:794"	"ATIC"	"5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase"	"Approved"		"PURH, AICARFT, IMPCHASE"	"2q35"		"NM_004044"
"HGNC:11231"	"ATL1"	"atlastin GTPase 1"	"Approved"	"SPG3, SPG3A"	"FSP1, AD-FSP"	"14q21.3"	"AF131801"	
"HGNC:24047"	"ATL2"	"atlastin GTPase 2"	"Approved"	"ARL6IP2"		"2p22.3"		"NM_022374"
"HGNC:24526"	"ATL3"	"atlastin GTPase 3"	"Approved"		"DKFZP564J0863"	"11q13.1"		"NM_015459"
"HGNC:795"	"ATM"	"ataxia telangiectasia mutated"	"Approved"	"ATA, ATDC, ATC, ATD"	"TEL1, TELO1"	"11q22-q23"	"AB209133"	"NM_000051"
"HGNC:29034"	"ATMIN"	"ATM interactor"	"Approved"		"ASCIZ, KIAA0431, ZNF822"	"16q23.2"	"BC002701"	"NM_015251"
"HGNC:3033"	"ATN1"	"atrophin 1"	"Approved"	"D12S755E, DRPLA"	"B37"	"12p"	"U23851"	"NM_001940"
"HGNC:796"	"ATN1L~withdrawn"	"symbol withdrawn, see RERE"	"Symbol Withdrawn"					
"HGNC:797"	"ATOH1"	"atonal homolog 1 (Drosophila)"	"Approved"		"HATH1, MATH-1, Math1, bHLHa14"	"4q22"	"U61148"	"NM_005172"
"HGNC:13907"	"ATOH7"	"atonal homolog 7 (Drosophila)"	"Approved"		"Math5, bHLHa13"	"10q22.2"	"AF418922"	
"HGNC:24126"	"ATOH8"	"atonal homolog 8 (Drosophila)"	"Approved"		"HATH6, FLJ14708, bHLHa21"	"2p11.2"	"AK074681"	"NM_032827"
